name,rating,page_link,directors_avg_imdb,director_wins,director_nominations,actors_avg_imdb,actors_wins,actors_nominations
13,6,http://www.imdb.com/title/tt0798817/?ref_=ttls_li_tt,6.6667,9,3,7,2,12
1408,7,http://www.imdb.com/title/tt0450385/?ref_=ttls_li_tt,7,5,10,0,0,0
2 Fast 2 Furious,6,http://www.imdb.com/title/tt0322259/?ref_=ttls_li_tt,6.75,13,23,6.5,2,15
2012,6,http://www.imdb.com/title/tt1190080/?ref_=ttls_li_tt,5.75,16,16,7.3889,73,121
21,7,http://www.imdb.com/title/tt0478087/?ref_=ttls_li_tt,0,0,0,7.5,2,3
21 & Over,6,http://www.imdb.com/title/tt1711425/?ref_=ttls_li_tt,0,0,0,6.875,8,30
21 Jump Street,7,http://www.imdb.com/title/tt1232829/?ref_=ttls_li_tt,7.5,15,12,7.375,14,82
28 Days Later...,8,http://www.imdb.com/title/tt0289043/?ref_=ttls_li_tt,0,0,0,8,7,13
28 Weeks Later,7,http://www.imdb.com/title/tt0463854/?ref_=ttls_li_tt,6.5,13,7,7,13,22
3 Men and a Baby,6,http://www.imdb.com/title/tt0094137/?ref_=ttls_li_tt,7,9,18,7,9,18
30 Days of Night,7,http://www.imdb.com/title/tt0389722/?ref_=ttls_li_tt,0,0,0,8,3,12
300: Rise of an Empire,6,http://www.imdb.com/title/tt1253863/?ref_=ttls_li_tt,6,2,7,0,0,0
42,8,http://www.imdb.com/title/tt0453562/?ref_=ttls_li_tt,8,31,21,7.5,5,23
50/50,8,http://www.imdb.com/title/tt1306980/?ref_=ttls_li_tt,7,6,6,0,0,0
8 Mile,7,http://www.imdb.com/title/tt0298203/?ref_=ttls_li_tt,0,0,0,6.77776667,48,95
9,7,http://www.imdb.com/title/tt0472033/?ref_=ttls_li_tt,0,0,0,6.5,3,3
A Bronx Tale,8,http://www.imdb.com/title/tt0106489/?ref_=ttls_li_tt,7.5,53,96,7.5,53,96
A Dark Truth,6,http://www.imdb.com/title/tt2083379/?ref_=ttls_li_tt,0,0,0,4,2,3
A Few Good Men,8,http://www.imdb.com/title/tt0104257/?ref_=ttls_li_tt,0,0,0,5.3333,13,28
A Good Day to Die Hard,5,http://www.imdb.com/title/tt1606378/?ref_=ttls_li_tt,0,0,0,7.25,8,10
A Late Quartet,7,http://www.imdb.com/title/tt1226240/?ref_=ttls_li_tt,0,0,0,7.5,16,55
A Nightmare on Elm Street,5,http://www.imdb.com/title/tt1179056/?ref_=ttls_li_tt,0,0,0,5.91665,12,14
A Resurrection,4,http://www.imdb.com/title/tt1817276/?ref_=ttls_li_tt,0,0,0,8,2,6
A Series of Unfortunate Events,7,http://www.imdb.com/title/tt0339291/?ref_=ttls_li_tt,0,0,0,6.6667,170,349
A Thousand Words,6,http://www.imdb.com/title/tt0763831/?ref_=ttls_li_tt,5.5,3,7,7.75,6,3
A Very Harold & Kumar 3D Christmas,6,http://www.imdb.com/title/tt1268799/?ref_=ttls_li_tt,7.5,2,4,8,23,57
After Earth,5,http://www.imdb.com/title/tt1815862/?ref_=ttls_li_tt,6.6667,13,38,6.25,8,20
Alex Cross,5,http://www.imdb.com/title/tt1712170/?ref_=ttls_li_tt,6,12,40,6.66666667,21,82
Alice in Wonderland,7,http://www.imdb.com/title/tt1014759/?ref_=ttls_li_tt,0,0,0,7.5,49,124
Alien,9,http://www.imdb.com/title/tt0078748/?ref_=ttls_li_tt,0,0,0,7.66665,26,27
Alien 3,6,http://www.imdb.com/title/tt0103644/?ref_=ttls_li_tt,0,0,0,7,10,16
Alien: Resurrection,6,http://www.imdb.com/title/tt0118583/?ref_=ttls_li_tt,7.6667,44,29,7.5,2,3
Almost Famous,8,http://www.imdb.com/title/tt0181875/?ref_=ttls_li_tt,0,0,0,6.5,20,53
American Beauty,8,http://www.imdb.com/title/tt0169547/?ref_=ttls_li_tt,0,0,0,7.125,68,139
American Graffiti,8,http://www.imdb.com/title/tt0069704/?ref_=ttls_li_tt,0,0,0,0,0,0
American History X,9,http://www.imdb.com/title/tt0120586/?ref_=ttls_li_tt,8.3333,6,9,7.6667,3,6
American Mary,6,http://www.imdb.com/title/tt1959332/?ref_=ttls_li_tt,5.25,10,8,6.3611,14,13
American Psycho,8,http://www.imdb.com/title/tt0144084/?ref_=ttls_li_tt,6.75,2,7,7,3,4
American Reunion,7,http://www.imdb.com/title/tt1605630/?ref_=ttls_li_tt,0,0,0,6.55553333,14,39
An Education,7,http://www.imdb.com/title/tt1174732/?ref_=ttls_li_tt,6.75,29,25,0,0,0
Anastasia,7,http://www.imdb.com/title/tt0118617/?ref_=ttls_li_tt,7,3,3,7.3333,11,30
Anchorman: The Legend of Ron Burgundy,7,http://www.imdb.com/title/tt0357413/?ref_=ttls_li_tt,7.25,23,30,6.83333333,58,221
Angels & Demons,7,http://www.imdb.com/title/tt0808151/?ref_=ttls_li_tt,0,0,0,7,4,5
Anna Karenina,7,http://www.imdb.com/title/tt1781769/?ref_=ttls_li_tt,7.3333,10,31,8,27,95
Annie Hall,8,http://www.imdb.com/title/tt0075686/?ref_=ttls_li_tt,0,0,0,0,0,0
Another Earth,7,http://www.imdb.com/title/tt1549572/?ref_=ttls_li_tt,7.3333,5,9,0,0,0
Antiviral,6,http://www.imdb.com/title/tt2099556/?ref_=ttls_li_tt,6.5,4,3,6,3,5
Any Day Now,8,http://www.imdb.com/title/tt2066176/?ref_=ttls_li_tt,7.5,11,3,7.04165,16,39
Apocalypse Now,9,http://www.imdb.com/title/tt0078788/?ref_=ttls_li_tt,0,0,0,8,30,33
Apocalypto,8,http://www.imdb.com/title/tt0472043/?ref_=ttls_li_tt,7.3333,41,39,7.41665,44,41
Armageddon,7,http://www.imdb.com/title/tt0120591/?ref_=ttls_li_tt,0,0,0,8,32,53
Arthur Christmas,7,http://www.imdb.com/title/tt1430607/?ref_=ttls_li_tt,0,0,0,7,23,53
Atlantis: The Lost Empire,7,http://www.imdb.com/title/tt0230011/?ref_=ttls_li_tt,0,0,0,7.75,9,19
Atlas Shrugged II: The Strike,5,http://www.imdb.com/title/tt1985017/?ref_=ttls_li_tt,7.3333,25,2,7.5,3,7
August Rush,8,http://www.imdb.com/title/tt0426931/?ref_=ttls_li_tt,7.5,33,21,0,0,0
Austin Powers: International Man of Mystery,7,http://www.imdb.com/title/tt0118655/?ref_=ttls_li_tt,0,0,0,7.6667,5,5
Austin Powers: The Spy Who Shagged Me,7,http://www.imdb.com/title/tt0145660/?ref_=ttls_li_tt,0,0,0,6,6,10
Avatar,8,http://www.imdb.com/title/tt0499549/?ref_=ttls_li_tt,8.5,69,61,7.3889,44,123
AVP: Alien vs. Predator,6,http://www.imdb.com/title/tt0370263/?ref_=ttls_li_tt,0,0,0,6.6389,33,41
Babylon A.D.,6,http://www.imdb.com/title/tt0364970/?ref_=ttls_li_tt,7.6667,14,14,7,6,18
Back to the Future,9,http://www.imdb.com/title/tt0088763/?ref_=ttls_li_tt,8.3333,34,36,6,5,5
Bad Kids Go to Hell,5,http://www.imdb.com/title/tt1865573/?ref_=ttls_li_tt,7.6667,2,3,8,2,4
Bad Santa,7,http://www.imdb.com/title/tt0307987/?ref_=ttls_li_tt,7.6667,15,26,6.5,18,52
Bad Teacher,6,http://www.imdb.com/title/tt1284575/?ref_=ttls_li_tt,0,0,0,0,0,0
